Area,City,Neighborhood,Transaction reference number,Date,Property classification,Property type,Number of properties,Price,Space,Price per square meter
Riyadh region,Riyadh,Al-Uraija,21095571,9/28/2023,Residential,land,1,800000,400.0,"2,000"
Eastern Region,alkhabar,Al-Azizia ,20917911,9/12/2023,Residential,land,1,450000,500.0,900
Makkah Region,Taif, Al-Wisam ,20454122,7/23/2023,Residential,land,1,680000,600.0,"1,133"
Riyadh region,Riyadh,alnarjis,20142141,6/8/2023,Residential,land,1,5121930,931.26,"5,500"
Makkah Region,Jeddah, Al-Waha ,20839783,9/5/2023,Residential,apartment,1,385000,129.12,"2,982"
Eastern Region,Jubail, Mirqab ,21056731,9/27/2023,Residential,land,1,1200000,400.0,"3,000"
Riyadh region,Riyadh, iishbilia ,20698471,8/21/2023,Residential,apartment,1,400000,149.49,"2,676"
Eastern Region,Hasa,Hajar,20814783,9/3/2023,Residential,land,1,185000,322.0,575
Asir region,Abha,almuharith walieisan,20352123,7/10/2023,Residential,land,1,600000,50.0,"12,000"
Riyadh region,Riyadh,King Faisal,20264356,6/21/2023,Residential,land,1,2800000,375.0,"7,467"
Eastern Region,Ras Tanura,Andalusia,20423447,7/19/2023,Residential,land,1,650000,236.98,"2,743"
Riyadh region,Riyadh,Qurtuba,19945322,5/16/2023,Residential,apartment,1,750000,105.45,"7,112"
Makkah Region,Jeddah, Raghama ,20358408,7/12/2023,Residential,apartment,1,400488,118.79,"3,371"
Qassim region,baridah, Al-Muwatta ,20781635,8/30/2023,Residential,land,1,250000,241.5,"1,035"
Makkah Region,Jeddah, Al-Ghadeer  ,19813053,4/26/2023,Residential,land,1,400000,450.0,889
Makkah Region,Jeddah, alwidad ,20524657,7/31/2023,Residential,land,1,190000,453.52,419
Riyadh region,Riyadh,Namar,19992385,5/22/2023,Residential,land,1,290000,208.8,"1,389"
Makkah Region,Jeddah,Umm Al Salam,20266208,6/22/2023,Residential,apartment,1,518110,157.95,"3,280"
Riyadh region,Riyadh, Al-Wisam ,20967305,9/17/2023,Residential,land,1,120900,300.0,403
Makkah Region,Jeddah,jawharat alearus,20156588,6/10/2023,Residential,land,1,500000,745.5,671
Al-Jawf region,Sakaka, allaqayit ,20620208,8/10/2023,Residential,land,1,100000,600.0,167
Riyadh region,Riyadh,Al Nada,20048734,5/29/2023,Residential,land,1,4432000,405.0,"10,943"
Asir region,Abha, Alsafra,20185660,6/14/2023,Residential,house,1,450000,361.0,"1,247"
Makkah Region,Jeddah, Al-Marwa ,20446843,7/23/2023,Residential,apartment,1,726084,179.28,"4,050"
Makkah Region,Taif, Al-Wasit ,20135620,6/7/2023,Residential,land,1,800000,2110.85,379
Riyadh region,Riyadh,Al-Khair,20345388,7/10/2023,Residential,land,1,410000,367.5,"1,116"
Makkah Region,Jeddah, Rehab ,19836561,5/2/2023,Residential,land,1,1100000,400.0,"2,750"
Qassim region,almudhanab, Qurtuba ,21085702,9/28/2023,Residential,land,1,100000,630.0,159
Riyadh region,Riyadh,Al-Zahra,19924013,5/15/2023,Residential,land,1,960000,500.0,"1,920"
Riyadh region,Riyadh,Arid,19843546,5/7/2023,Residential,land,1,155000,225.0,689
